run_name,dataset_label,pair_count,group_label,eval_variant,eval_checkpoint,decode,external_bleu,indomain_bleu
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1,frozen_best5.pack_06.replace10.compat.jsonl,1600,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.6083,53.9959
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1,frozen_best5.pack_06.replace10.compat.jsonl,1600,default,,,,32.6083,53.9959
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.5811,54.0417
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.5811,54.0417
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,train_pairs.rows1584.normalized.jsonl,1584,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.5808,53.6171
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-005000,stage_a,checkpoint-005000,greedy,32.5703,55.4955
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1,frozen_best5.pack_06.replace10.compat.jsonl,1600,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.5674,54.3783
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-000750,stage_a,checkpoint-000750,greedy,32.5374,54.5121
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-006000,stage_a,checkpoint-006000,greedy,32.5193,55.6218
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-000250,stage_a,checkpoint-000250,greedy,32.5040,54.8635
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.4720,54.0130
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-000500,stage_a,checkpoint-000500,greedy,32.4609,54.6283
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-003500,stage_a,checkpoint-003500,greedy,32.4571,55.2261
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T233133Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.4566,55.9867
